"time (JD)" Vmag Verr
2458655.728078704 15.290999999999999 0.027999999999999997
2458655.7296296298 15.3 0.025
2458655.7311921297 15.322000000000001 0.026000000000000002
2458655.732743056 15.304 0.025
2458655.7343055555 15.321 0.027999999999999997
2458655.735914352 15.302 0.027999999999999997
2458655.7374652773 15.273 0.027000000000000003
2458655.739016204 15.335999999999999 0.027000000000000003
2458655.73929 15.694 0.011000000000000001
2458655.740578704 15.26 0.025
2458655.74079 15.663 0.011000000000000001
2458655.742141204 15.261 0.024
2458655.74228 15.667 0.011000000000000001
2458655.74375 15.298 0.025
2458655.74376 15.648 0.01
2458655.74526 15.657 0.011000000000000001
2458655.7453125 15.270999999999999 0.025
2458655.74674 15.658 0.009000000000000001
2458655.746875 15.234000000000002 0.022000000000000002
2458655.748425926 15.331 0.027000000000000003
2458655.750034722 15.34 0.026000000000000002
2458655.7512 15.652999999999999 0.013999999999999999
2458655.751585648 15.28 0.025
2458655.7531481483 15.302999999999999 0.025
2458655.75418 15.687000000000001 0.013000000000000001
2458655.754699074 15.324000000000002 0.025
2458655.75566 15.679 0.011000000000000001
2458655.75625 15.265999999999998 0.024
2458655.75715 15.649000000000001 0.01
2458655.7578703705 15.25 0.023
2458655.75863 15.683 0.012
2458655.7594212964 15.280999999999999 0.026000000000000002
2458655.76013 15.664000000000001 0.015
2458655.7609722223 15.296 0.026000000000000002
2458655.76161 15.652999999999999 0.012
2458655.762523148 15.26 0.024
2458655.7631 15.68 0.01
2458655.7641319446 15.35 0.027000000000000003
2458655.7656944445 15.267999999999999 0.026000000000000002
2458655.7672453704 15.345 0.026000000000000002
2458655.7687962963 15.283 0.028999999999999998
2458655.7690500002 15.709000000000001 0.008
2458655.7703587958 15.328 0.028999999999999998
2458655.77053 15.717 0.008
2458655.7719560186 15.309000000000001 0.025
2458655.77201 15.72 0.009000000000000001
2458655.7735 15.72 0.009000000000000001
2458655.7735069445 15.353 0.027999999999999997
2458655.77499 15.700999999999999 0.008
2458655.7750578704 15.312999999999999 0.027999999999999997
2458655.77647 15.702 0.008
2458655.7766203703 15.277999999999999 0.026000000000000002
2458655.77796 15.696 0.008
2458655.7781712958 15.294 0.026000000000000002
2458655.77944 15.687000000000001 0.008
2458655.779733796 15.261 0.028999999999999998
2458655.78094 15.694 0.008
2458655.781284722 15.237 0.027000000000000003
2458655.78242 15.674000000000001 0.008
2458655.7828472224 15.25 0.027999999999999997
2458655.7839 15.672 0.008
2458655.7843981483 15.283 0.027000000000000003
2458655.78538 15.679 0.008
2458655.785949074 15.319 0.027999999999999997
2458655.78688 15.687999999999999 0.008
2458655.787511574 15.302 0.027000000000000003
2458655.78836 15.71 0.008
2458655.7890625 15.277999999999999 0.027000000000000003
2458655.790625 15.350999999999999 0.03
2458655.7922222223 15.324000000000002 0.027999999999999997
2458655.79282 15.722999999999999 0.008
2458655.7937847227 15.298 0.027999999999999997
2458655.79431 15.704 0.008
2458655.795335648 15.264000000000001 0.027999999999999997
2458655.7958 15.710999999999999 0.008
2458655.79728 15.692 0.009000000000000001
2458655.79877 15.703 0.009000000000000001
2458655.80026 15.682 0.008
2458655.80175 15.67 0.009000000000000001
2458655.802592593 15.276 0.026000000000000002
2458655.8041435187 15.333 0.025
2458655.80471 15.689 0.009000000000000001
2458655.8057060186 15.3 0.026000000000000002
2458655.80619 15.710999999999999 0.009000000000000001
2458655.8072569445 15.304 0.026000000000000002
2458655.80769 15.715 0.009000000000000001
2458655.8088078704 15.311 0.026000000000000002
2458655.8103587963 15.311 0.025
2458655.81066 15.729000000000001 0.009000000000000001
2458655.8119212957 15.302999999999999 0.024
2458655.8135300926 15.3 0.024
2458655.81362 15.719000000000001 0.009000000000000001
2458655.8150694445 15.300999999999998 0.026000000000000002
2458655.8166319444 15.335 0.026000000000000002
2458655.8181 15.709000000000001 0.009000000000000001
2458655.8181712963 15.267999999999999 0.024
2458655.81958 15.695 0.009000000000000001
2458655.8197337957 15.267000000000001 0.024
2458655.82108 15.707 0.009000000000000001
2458655.8213310186 15.309000000000001 0.025
2458655.82257 15.705 0.009000000000000001
2458655.8228935185 15.272 0.025
2458655.8244328704 15.294 0.024
2458655.8259837963 15.345999999999998 0.026000000000000002
2458655.8275347226 15.302999999999999 0.026000000000000002
2458655.829097222 15.347999999999999 0.025
2458655.830648148 15.279000000000002 0.023
2458655.8321875 15.324000000000002 0.026000000000000002
2458655.8337384257 15.277000000000001 0.025
2458655.83515 15.700999999999999 0.008
2458655.8353009257 15.252 0.024
2458655.836840277 15.273 0.025
2458655.83813 15.703 0.008
2458655.838391204 15.299000000000001 0.025
2458655.84111 15.705 0.008
2458655.8426 15.690999999999999 0.008
2458655.843055556 15.318 0.026000000000000002
2458655.8441 15.67 0.008
2458655.844606481 15.251 0.026000000000000002
2458655.84559 15.669 0.008
2458655.8461574074 15.264000000000001 0.025
2458655.84707 15.690999999999999 0.008
2458655.84857 15.697000000000001 0.009000000000000001
2458655.85006 15.706 0.009000000000000001
2458655.85154 15.700999999999999 0.009000000000000001
2458655.85302 15.695 0.009000000000000001
2458655.8545 15.671 0.009000000000000001
2458655.8552314816 15.241 0.027000000000000003
2458655.8568287035 15.241 0.025
2458655.85748 15.693 0.009000000000000001
2458655.8583680554 15.235 0.025
2458655.8599189813 15.28 0.027999999999999997
2458655.86045 15.686 0.01
2458655.861469907 15.327 0.027999999999999997
2458655.86194 15.665 0.01
2458655.8630208327 15.239 0.025
2458655.86343 15.673 0.01
2458655.86492 15.630999999999998 0.011000000000000001
2458655.8664 15.655999999999999 0.012
2458655.8676851853 15.245 0.025
